Number of Fog Nodes,Ref[22],Ref[37],Ref[39],Spider (Ours)
5,5.980634444444444,10.470812222222222,26.410184444444447,14.399704444444446
10,10.09931222222222,26.70242888888889,44.81629,24.24465
15,14.642127777777777,51.420184444444445,63.452822222222224,32.371072222222224
20,18.920762222222223,85.31010777777779,82.24091333333334,41.62478
25,23.333504444444443,127.37508333333334,100.74961555555555,51.639030000000005
30,27.54519444444444,179.04602666666668,119.12184555555555,59.51069444444444
35,31.919268888888887,239.68192666666667,137.56025444444444,69.155
40,36.50788555555555,308.0839888888889,155.9366888888889,78.7953511111111
45,40.204954444444446,385.8211133333333,175.7567122222222,88.33763333333333
50,44.88740111111111,472.7898733333333,193.87158444444447,97.17467888888889
