EPC_Swap_Cost_ms,Round-Robin,Least-Queue,Spider (Ours)
0.0,10017.607552262065,9831.242871065044,9919.049135763742
2.0,10306.574559261417,10106.79113519879,10218.186065227688
4.0,10637.11033834817,10432.487239875958,10541.766346074906
6.0,10951.27940267172,10750.689676351136,10864.084799231938
8.0,11266.129531734656,11047.42731165158,11180.155028629784
10.0,11578.100996177736,11366.415649575989,11487.007659379236
12.0,11889.96509348822,11677.118251810965,11796.308189146943
14.0,12194.444293476983,11958.34882029376,12100.060342558532
16.0,12493.311910206608,12254.178741436463,12394.492836859927
20.0,13087.611104884998,12851.859539000749,12982.512725887105
24.0,13670.17127217617,13410.770327747507,13568.950185975033
