Number of Tasks,No Cache-Aware Scheduling,Random Cache Placement,Spider (Ours)
100,40.745561320928154,33.64681750236274,33.207174577915005
200,218.89900711239963,146.84896768929244,143.9704932979388
300,443.6321478663477,386.2502880928348,329.4802374883953
400,723.2945501799231,644.2246578326611,568.6295743270498
500,1001.3855061732792,899.775691029814,806.6991378838113
600,1246.3319524858687,1077.7976858407526,1018.1192572753345
700,1550.0540290457316,1424.4709001496594,1310.2235835082388
800,1774.09523481643,1641.4192513663925,1461.5062490475602
900,2039.1666409314937,1842.5177068376024,1746.1203761386948
1000,2300.2302215331138,2015.7889731698917,1921.620416405126
1100,2395.2925065211666,2374.876015022099,2205.296111608858
1200,2793.1617315215503,2515.8044357327785,2330.183315971293
