Number of Tasks,No Cache-Aware Scheduling,Random Cache Placement,Spider (Ours)
100,0.0,0.24,0.43
200,0.0,0.27,0.475
300,0.0,0.30333333333333334,0.49666666666666665
400,0.0,0.27,0.46
500,0.0,0.316,0.494
600,0.0,0.2833333333333333,0.48
700,0.0,0.31,0.5071428571428571
800,0.0,0.29875,0.475
900,0.0,0.30444444444444446,0.4711111111111111
1000,0.0,0.304,0.485
1100,0.0,0.2809090909090909,0.49
1200,0.0,0.29,0.47333333333333333
1300,0.0,0.29923076923076924,0.51
1400,0.0,0.29214285714285715,0.48642857142857143
1500,0.0,0.28933333333333333,0.48333333333333334
1600,0.0,0.31,0.481875
1700,0.0,0.30058823529411766,0.5017647058823529
1800,0.0,0.29777777777777775,0.4861111111111111
1900,0.0,0.2968421052631579,0.4826315789473684
2000,0.0,0.3005,0.498
