Number of Fog Nodes,Ref[22],Ref[37],Ref[39],Spider (Ours)
5,5.923242222222222,10.511884444444444,26.130926666666667,14.230143333333334
10,10.232512222222223,27.036992222222224,44.78421111111111,24.02710888888889
15,14.577916666666667,52.465943333333335,63.236672222222225,32.34957333333333
20,18.864447777777777,86.92285555555554,81.81947111111111,41.476127777777776
25,23.23387,130.37344555555555,100.9418511111111,51.62651555555556
30,27.47199888888889,182.68243777777775,118.98618888888889,60.52873666666667
35,32.11208666666667,245.26539888888888,137.6491177777778,70.85682333333334
40,36.12507222222222,314.8712522222222,155.5595688888889,79.69357555555555
45,40.54429666666667,394.32624111111113,174.5252788888889,89.25768333333332
50,44.89484888888889,482.9882444444444,193.01624555555557,98.04549333333333
