EPC_Swap_Cost_ms,Round-Robin,Least-Queue,Spider++ (Ours)
0.0,8006.888058595125,7833.96588664382,7936.139550668115
2.0,8338.65792259876,8160.186507843906,8262.040283953425
4.0,8712.94698597832,8517.509296474029,8635.838790671889
6.0,9077.406135205003,8870.5116574514,8994.823986616178
8.0,9434.337754802442,9230.9687341048,9347.143637459878
10.0,9768.324604560288,9561.144309314363,9682.0154597358
12.0,10104.689319145093,9888.555326921582,10012.54438426015
14.0,10436.554036551745,10214.18126529824,10361.47548190218
16.0,10755.329547467183,10533.345948216913,10670.259736879692
20.0,11394.805321351236,11148.0390252222,11304.371409489408
24.0,12014.479619142572,11755.023712388558,11913.843514533935
