Number of Tasks,No Cache-Aware Scheduling,Random Cache Placement,Spider++ Reuse-Aware Cache (Ours)
100,0.0,0.31666666666666665,0.89
200,0.0,0.36166666666666664,0.9266666666666667
300,0.0,0.3655555555555556,0.9244444444444445
400,0.0,0.37833333333333335,0.93
500,0.0,0.35266666666666663,0.9313333333333333
600,0.0,0.35555555555555557,0.9205555555555556
700,0.0,0.3723809523809523,0.938095238095238
800,0.0,0.34625,0.9345833333333333
900,0.0,0.3644444444444444,0.9374074074074074
1000,0.0,0.36400000000000005,0.9353333333333333
1100,0.0,0.36999999999999994,0.9318181818181818
1200,0.0,0.3675,0.9391666666666666
