Number of Tasks,No Cache-Aware Scheduling,Random Cache Placement,Spider++ Reuse-Aware Cache (Ours)
100,38.34583140950773,32.23350346387316,29.65835930081717
200,225.87292878191792,131.1623242798246,101.09997855103848
300,455.125851044047,345.07669625685367,275.3543867748042
400,725.6374241630128,607.9122073107575,511.49596679223947
500,1005.6539586557211,823.3892514387486,704.150833358096
600,1252.038245781567,1011.9843476115079,893.3897976302969
700,1543.5397975033604,1318.9801620578648,1143.3247168190428
800,1782.925150418442,1509.858332308557,1315.541630631675
900,2048.4907791170917,1697.020105485697,1534.7515408829765
1000,2325.9370567598594,1893.91622705738,1706.2452208732404
1100,2480.4198674339614,2193.8472140311587,1972.1411270107765
1200,2826.5245849390035,2378.7117139506486,2102.8083840898016
