Number of Attributes,Ref[4],Ref[35],Ref[36],Spider++ (Ours)
5,12.09315299638547,83.51508251629859,31.986490237023588,20.766152660750475
10,23.785555677022785,84.77853018768322,42.16908495494582,22.115749995767448
15,36.03105565222601,82.9971747702594,52.76502905750008,34.44754166412167
20,50.85893067492483,83.41125286714258,69.7829081277052,49.98929134065596
25,73.95505566576806,84.60733592524309,87.34730911754077,56.566930667031556
30,77.82765267378029,83.73657307849201,108.87865420388634,68.39690301179265
35,92.97456967760809,84.18751567972286,133.2819877095723,80.33788866790321
40,128.6115280042092,84.63737306752131,161.96188829743582,92.32465267026176
45,114.86568033190754,83.46387273257234,192.45027404186416,107.68266699354474
50,156.8384583418568,82.24423880307144,222.92288126541357,119.45237534625146
