Number of Attributes,Ref[4],Ref[35],Ref[36],Spider++ (Ours)
5,6.87292887309946,30.010959186396303,9.304123634591202,5.552332993829623
10,11.904546145657415,32.19227182962022,10.904244639329349,10.911305347690359
15,17.399657586672195,33.98043115579956,12.347913492993923,16.366860664372023
20,23.625522125937835,36.562600197401316,13.879822110953887,22.161888986981165
25,28.837352633751376,38.574661845325416,15.28894228639067,27.534681003695976
30,35.11548981551979,40.304236488909616,16.840679599078726,33.5802920065665
35,40.44390699670284,42.09956762512325,18.330918523596484,39.13699999490442
40,47.11046490865096,44.23543362317637,19.91939199317027,46.13030566057811
45,51.057281879120275,46.28591792129359,21.44683498722158,49.73697200572739
50,57.50719105413432,47.64430145110728,23.073108261223123,56.35563900189785
