task_index,Round-Robin,Least-Queue,Spider++ (Ours)
1,42.6767,45.6042,41.0719
2,56.9393,56.5570,53.8615
3,111.4381,43.1690,36.5295
4,108.2528,114.2718,74.2836
5,39.4547,127.3365,112.4575
6,61.2347,39.7145,44.8349
7,190.0408,59.6102,85.4677
8,210.9873,106.5032,107.3983
9,41.3985,135.6931,77.6037
10,69.9376,87.9781,110.4816
11,201.8874,99.5190,62.0958
12,214.2770,104.6622,71.9200
13,41.7318,57.0541,76.9522
14,57.0734,43.4870,45.1280
15,210.2969,97.0190,74.8742
16,172.0828,42.9652,40.1826
17,36.7334,54.7822,59.7607
18,63.9644,41.5160,45.0531
19,97.9887,58.6219,56.0936
20,125.2928,41.9100,43.9249
21,40.4141,57.6727,52.3552
22,55.6146,40.1578,41.0634
23,121.4415,41.7626,56.3856
24,105.9429,65.4871,39.7829
25,39.8247,41.3655,68.9960
26,60.1368,98.2578,76.1866
27,218.0333,115.0091,116.7173
28,212.5006,116.0744,112.0500
29,93.9449,62.1997,95.2384
30,57.6378,115.4184,114.3004
31,248.3458,54.3642,68.9890
32,236.1342,105.6219,73.4928
33,47.0945,95.9655,127.1231
34,65.4683,95.5137,109.0403
35,311.9837,41.8236,53.7308
36,250.5808,55.7904,62.6325
37,41.7723,101.4114,79.3438
38,57.8040,37.7718,66.7875
39,270.2578,49.1895,44.6410
40,243.8228,56.1496,60.4277
41,41.7939,98.8220,80.9797
42,57.5271,45.7508,40.5985
43,346.7006,58.8500,115.5761
44,356.1797,111.2105,112.6714
45,42.3331,37.7840,41.1055
46,55.0099,62.5654,87.8059
47,382.5828,105.6494,105.9144
48,381.6970,89.4632,91.7982
49,40.2463,115.7492,113.0649
50,58.4722,59.0676,48.9957
51,314.0779,46.1105,37.1488
52,289.4518,41.6348,39.9481
53,41.4689,42.0417,42.9497
54,59.6416,55.8251,58.2700
55,191.0410,40.4110,40.8216
56,202.0630,105.1158,69.8643
57,39.7700,54.8616,102.7529
58,57.5325,45.1762,58.5978
59,196.7329,59.8441,76.1367
60,156.6023,38.9569,55.8748
61,38.4630,43.2182,41.7627
62,62.1234,55.5235,58.9106
63,162.9507,36.6829,43.0515
64,124.7013,37.8563,39.9372
65,40.6570,40.9355,57.4782
66,56.6885,60.5129,40.7365
67,160.4730,101.5323,103.4628
68,165.8216,107.4607,105.3917
69,42.4970,45.0378,80.1037
70,56.0054,40.9211,46.8082
71,113.9693,59.6352,57.9502
72,133.8416,101.2858,116.0496
73,44.2250,42.8030,40.0935
74,65.6485,103.1588,59.0052
75,219.9901,104.1397,113.9588
76,146.0275,62.9879,43.7221
77,36.4221,107.1965,69.4781
78,66.3361,97.6511,100.0134
79,264.9590,91.8929,101.0975
80,267.8213,226.9147,98.7818
81,35.6171,134.9712,85.0807
82,55.5464,50.5984,93.2311
83,216.5904,41.2081,42.0218
84,227.6749,60.4068,73.2114
85,44.1700,42.4230,40.4883
86,58.2909,106.9360,73.7230
87,314.2789,58.8784,110.8253
88,219.9222,36.9547,41.3169
89,43.9216,57.4866,65.5026
90,58.6062,95.6340,122.8474
91,333.2775,94.7159,102.7470
92,344.3005,103.3057,40.7746
93,41.5277,52.4281,42.2464
94,56.2743,121.4546,87.3695
95,369.1972,49.0945,103.9971
96,401.0822,85.4896,72.1349
97,41.6760,54.2732,41.4574
98,57.6410,37.6462,39.9367
99,350.2677,102.4789,62.3597
100,339.0866,41.2785,44.7039
101,44.0914,59.0530,55.8427
102,61.9109,109.1493,108.1329
103,279.9065,41.8331,40.5382
104,317.9065,59.5243,65.2684
105,45.0047,98.2200,107.8000
106,61.6670,103.9438,94.2209
107,411.4519,101.4380,102.2315
108,453.0883,129.5103,111.1994
109,37.5498,64.4854,106.7606
110,67.0546,114.2691,114.5967
111,428.3239,94.9178,67.8672
112,484.2114,109.7706,106.0496
113,32.5108,57.7002,93.4732
114,53.1432,60.1301,63.7602
115,501.0744,68.8166,111.1440
116,545.3276,82.6222,77.8268
117,40.9193,57.2542,63.9609
118,56.7710,90.4334,82.4922
119,549.2349,113.8983,103.9055
120,660.2258,68.2618,105.4447
121,41.1098,73.4546,82.9187
122,64.5594,68.6273,113.3307
123,615.4790,66.9725,46.8341
124,657.6062,44.2814,44.2642
125,39.2307,63.8683,56.4834
126,53.5223,42.9750,41.5211
127,590.4524,53.8806,57.4952
128,605.3610,43.1234,36.4646
129,39.4553,57.6373,62.3535
130,52.5017,40.7710,42.9701
131,395.5787,41.7451,40.0820
132,493.4327,62.0336,60.7517
133,39.3378,40.1207,41.4777
134,61.1129,60.4187,67.9567
135,308.8377,44.0890,43.2839
136,358.2963,41.0451,37.5612
137,44.1844,60.6673,52.4933
138,61.5661,106.9492,110.7777
139,328.1237,113.2275,104.9226
140,474.4989,82.2458,91.0358
141,97.5716,123.7286,105.5347
142,65.7685,54.0479,91.7315
143,348.7427,79.9168,57.6501
144,481.9609,58.1051,46.4672
145,44.0651,40.5635,42.5874
146,59.7353,61.8331,61.2454
147,366.2622,109.3518,106.2015
148,494.4298,41.5160,41.3451
149,46.1460,118.5019,73.7927
150,64.6695,130.9837,114.1639
151,489.5374,70.2021,134.0358
152,647.0809,136.2932,91.2553
153,41.7114,84.7394,130.3232
154,68.8817,104.0718,92.0052
155,504.6558,95.0459,95.6718
156,726.9603,200.4188,109.0789
157,40.8643,117.1300,87.8368
158,60.4039,89.6094,182.8443
159,611.0553,101.1154,95.9711
160,849.3486,75.2028,71.5167
161,43.3364,39.9404,43.5736
162,54.6183,53.4040,56.2185
163,538.7556,104.7423,104.8195
164,777.5332,40.1159,43.1261
165,39.9693,41.2526,43.0785
166,51.7426,51.4545,55.1503
167,473.9412,46.8604,37.3235
168,777.5264,102.1597,66.2994
169,37.6273,52.9413,100.8669
170,54.1126,103.9472,105.2123
171,610.1979,106.7722,115.8483
172,913.5688,135.9190,109.4975
173,86.1300,78.1199,107.7427
174,72.1123,174.1758,130.5102
175,702.3528,126.3346,172.9528
176,1076.6889,205.2771,202.5698
177,59.8933,225.2845,175.8608
178,58.9523,89.6027,118.4854
179,644.6796,40.2201,61.3362
180,1025.6288,57.4717,50.8383
181,43.5194,37.8623,65.7756
182,59.8162,111.1506,66.3265
183,778.6999,111.7083,111.9896
184,1196.4238,83.6275,106.1512
185,85.2041,104.9212,77.8118
186,55.6009,64.9452,56.5161
187,803.6802,60.4510,39.7105
188,1300.1149,112.2785,75.9176
189,41.6353,107.9666,97.9067
190,61.3990,41.1758,42.2580
191,841.1703,40.5414,42.3282
192,1338.9359,59.4701,55.2245
193,40.7634,44.2479,40.7273
194,62.8155,53.5528,60.9044
195,713.0182,39.9984,40.1501
196,1238.1124,53.1184,63.8549
197,39.5678,101.2253,105.3623
198,55.7371,108.1864,88.9907
199,821.7695,44.8569,82.4014
200,1327.0604,42.5717,54.9228
201,41.4766,45.1890,52.7760
202,65.9533,57.5916,57.5439
203,759.7252,41.0894,45.3079
204,1294.7824,41.5354,39.9602
205,41.7277,54.8633,63.5395
206,56.5976,46.0561,39.5094
207,779.9406,106.7299,81.3371
208,1308.8624,42.9691,43.3006
209,43.1231,61.9623,54.5516
210,56.2923,109.6641,99.2756
211,824.8897,40.8162,96.2391
212,1417.9982,102.4999,106.4970
213,38.3515,101.3978,98.2379
214,61.2513,58.4155,107.4960
215,851.7447,107.0219,71.8854
216,1486.4725,39.0299,72.1293
217,41.2455,41.2844,35.4502
218,60.3505,59.4884,91.5992
219,846.6289,43.4213,40.0966
220,1499.7967,41.2736,40.8145
221,43.8269,57.3670,62.4221
222,58.3774,104.4016,91.5724
223,894.0007,45.0084,44.2958
224,1620.4258,56.6041,91.9832
225,39.8949,42.0342,37.5868
226,56.7180,41.1806,41.9588
227,866.2404,57.9270,67.9273
228,1657.2095,41.9421,40.9976
229,40.7383,43.4577,42.1558
230,65.1090,53.1738,59.6957
231,862.4092,106.4282,75.8367
232,1659.4446,41.0785,86.2526
233,41.4081,120.1693,87.2350
234,59.9766,60.5179,107.9136
235,991.2933,117.8488,107.3373
236,1814.6528,122.3762,126.4091
237,114.9016,206.4407,142.4106
238,115.4198,239.8443,232.1441
239,1137.2943,121.2569,207.8736
240,1937.6059,99.1833,188.6086
241,76.5876,233.8050,170.0049
242,57.7936,40.7608,117.8760
243,1164.3240,110.5149,131.3413
244,2066.6171,56.4332,188.2120
245,46.2436,101.1962,165.8967
246,58.7794,113.2750,67.8582
247,1234.6811,72.6051,122.1672
248,2182.6171,104.7704,141.0462
249,43.9076,158.6850,167.1534
250,71.8423,74.3923,150.0120
251,1286.3362,72.9124,131.8055
252,2283.8690,74.4575,143.3388
253,44.6646,203.5475,138.5671
254,55.5745,111.2917,133.2647
255,1441.0606,81.6644,188.9518
256,2492.7232,110.0432,225.6417
257,114.0206,248.2655,191.0335
258,58.0764,74.0407,176.2094
259,1568.6325,97.8306,172.5822
260,2634.4445,52.1099,148.1206
261,56.2615,123.4533,222.3162
262,54.8824,42.1373,124.5065
263,1573.3151,41.8813,100.7119
264,2742.9926,120.6271,109.3688
265,39.3452,60.5321,116.4525
266,53.8111,108.1135,132.2513
267,1645.3376,42.9039,57.0998
268,2852.4015,60.3273,115.0219
269,41.6573,110.2380,83.9776
270,53.2982,42.3660,47.9053
271,1538.9009,41.6174,40.6178
272,2777.1124,60.0371,51.4029
273,40.0439,111.8096,109.7227
274,63.4193,114.0977,106.7837
275,1716.0887,97.1994,93.4663
276,3026.3082,142.9628,122.5499
277,111.0331,91.1057,123.3860
278,81.2569,197.5609,120.5135
279,1868.8782,109.3298,159.7052
280,3162.2438,189.7874,178.2366
281,86.8669,149.5468,205.6964
282,85.6022,249.2538,169.6736
283,2015.2701,110.8469,111.5967
284,3377.7170,251.5329,220.8510
285,42.5070,68.2195,95.2215
286,55.9614,78.2815,132.8191
287,2079.0811,69.1852,115.6699
288,3490.9293,103.8029,101.2537
289,44.2454,182.7638,128.1903
290,55.6015,218.4821,146.4991
291,2276.0161,76.4433,201.0552
292,3688.4122,86.9779,119.7641
293,44.4557,41.2493,44.5799
294,58.8961,56.7606,85.4745
295,2303.8847,104.4701,103.1980
296,3743.9050,55.4141,74.1682
297,40.3054,95.5695,87.5447
298,57.9567,39.2009,41.8839
299,2299.1485,56.9419,59.4333
300,3836.1859,111.4728,121.2139
