EPC_Swap_Cost_ms,Round-Robin,Least-Queue,Spider++ (Ours)
0.0,2806.405742468748,1668.4081786466459,1737.0297137492128
2.0,3173.5563111128545,2053.50034440833,2219.542283158362
4.0,3522.707886671002,2566.584979045377,2639.59907468554
6.0,3829.593625899198,3144.633613177634,3105.202946241422
8.0,4114.60010800006,3579.3244849211464,3636.865598124423
10.0,4468.270806571681,3983.554185274764,4077.1207586666906
12.0,4770.468430587969,4371.571784271751,4445.492768144146
14.0,5046.028392525243,4810.985875392743,4800.049231093163
16.0,5321.828492163334,5151.312782108088,5132.822863179132
20.0,5851.8730421549035,5807.654731263999,5816.632790038225
24.0,6353.468859792193,6455.581652250767,6447.984287549483
